cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
47666,46.48,84.715,50.0,86.0
47670,44.572,84.397,48.0,83.0
47671,43.727,82.673,45.0,83.0
47672,46.143,83.989,49.0,87.0
47674,43.413,84.146,58.0,89.0
47675,42.944,82.424,44.0,83.0
47676,43.533,84.237,51.0,87.0
47677,40.377,82.391,52.0,86.0
47679,44.883,84.55,50.0,87.0
47680,42.23,83.35,49.0,86.0
47682,45.222,84.253,55.0,86.0
47685,46.577,84.422,56.0,87.0
47686,42.145,82.293,49.0,83.0
47689,46.0245,84.06649999999999,49.5,85.5
47694,43.18,83.18299999999999,54.0,85.5
47705,42.609,81.573,53.0,86.0
47709,42.784,83.595,50.0,87.0
47713,44.3015,84.001,52.5,87.0
47714,44.813,84.59,50.0,88.0
47716,43.678,83.119,49.0,87.0
47718,42.589,81.398,59.0,87.0
47721,43.024,81.864,45.0,84.0
47728,44.54,84.65100000000001,49.5,86.5
47733,44.526,83.57,52.0,85.0
47735,43.135,82.357,53.0,87.0
47736,40.998,82.025,52.0,88.0
47737,43.789,83.847,47.0,85.0
47739,43.764,84.2105,53.5,87.5
47740,44.013,83.463,55.0,85.0
47741,42.961,84.247,47.0,85.0
47744,45.61,83.404,54.0,85.0
47754,42.731,83.921,53.0,89.0
47756,43.317,82.797,51.0,84.0
47757,43.574,83.4355,49.0,86.5
47758,44.036,83.757,56.0,87.0
47761,44.014,83.284,53.0,89.0
47769,45.457,83.376,52.0,82.0
47777,44.866,85.223,51.0,87.0
47781,45.82,81.622,51.0,83.0
47783,43.111,83.402,48.0,85.0
47785,45.076,84.03,50.0,85.0
47789,42.784,84.328,54.0,88.0
47791,43.25,82.273,50.0,84.0
47798,45.149,85.264,55.0,89.0
47799,43.236,82.397,51.0,84.0
47802,42.933,81.597,59.0,86.0
47805,43.904,83.484,52.0,84.0
47806,45.159,85.512,52.0,87.0
47807,44.09,83.139,46.0,84.0
47814,44.536,83.911,49.0,84.0
47824,43.075,81.115,53.0,87.0
47826,43.864,81.777,48.0,80.0
47829,44.06,83.9115,52.0,84.0
47832,42.312,81.827,54.0,81.0
47835,45.072,84.104,46.0,85.0
47838,45.467,84.416,53.0,89.0
47839,44.309,83.699,55.0,86.0
47841,43.952,82.347,46.0,85.0
47845,44.160250000000005,83.35375,49.5,84.75
47846,43.672,82.344,51.0,83.0
47847,45.622,84.004,51.0,87.0
47848,43.692,83.83850000000001,52.0,86.5
47852,46.415,85.314,54.0,88.0
47853,42.846,82.058,58.0,86.0
47854,45.667,85.358,55.0,88.0
